regions,tech,c2a,c2a_notes
TO,PUBBDGPSINewAM______STDELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAE______STDBMA_23,31.536,PublicBuildingPost-Secondary InstitutionNewAuxiliary EquipmentStandard EfficiencyBiomass2023
TO,PUBBDGPSINewAE______STDELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewAuxiliary EquipmentStandard EfficiencyElectricity2023
TO,PUBBDGPSINewAE______STDNGA_23,31.536,PublicBuildingPost-Secondary InstitutionNewAuxiliary EquipmentStandard EfficiencyNatural Gas2023
TO,PUBBDGPSINewAE______STDPRO_23,31.536,PublicBuildingPost-Secondary InstitutionNewAuxiliary EquipmentStandard EfficiencyPropane2023
TO,PUBBDGPSINewLILED___HIGELC_23,1,PublicBuildingPost-Secondary InstitutionNewLightingLight Emitting DiodeHigh EfficiencyElectricity2023
TO,PUBBDGPSINewLIFLC___HIGELC_23,1,PublicBuildingPost-Secondary InstitutionNewLightingFluocompactHigh EfficiencyElectricity2023
TO,PUBBDGPSINewLIFLC___STDELC_23,1,PublicBuildingPost-Secondary InstitutionNewLightingFluocompactStandard EfficiencyElectricity2023
TO,PUBBDGPSINewLIFLUT5HIGELC_23,1,PublicBuildingPost-Secondary InstitutionNewLightingFluorescenteT5High EfficiencyElectricity2023
TO,PUBBDGPSINewLIFLUT8HIGELC_23,1,PublicBuildingPost-Secondary InstitutionNewLightingFluorescenteT8High EfficiencyElectricity2023
TO,PUBBDGPSINewLIFLUT5STDELC_23,1,PublicBuildingPost-Secondary InstitutionNewLightingFluorescenteT5Standard EfficiencyElectricity2023
TO,PUBBDGPSINewLIFLUT8STDELC_23,1,PublicBuildingPost-Secondary InstitutionNewLightingFluorescenteT8Standard EfficiencyElectricity2023
TO,PUBBDGPSINewLIHAL100WSTDELC_23,1,PublicBuildingPost-Secondary InstitutionNewLightingHalogen100WStandard EfficiencyElectricity2023
TO,PUBBDGPSINewLIINC100WSTDELC_23,1,PublicBuildingPost-Secondary InstitutionNewLightingIncandescent100WStandard EfficiencyElectricity2023
TO,PUBBDGPSINewLILED___ESRELC_23,1,PublicBuildingPost-Secondary InstitutionNewLightingLight Emitting DiodeEnergy StarElectricity2023
TO,PUBBDGPSINewLILED___STDELC_23,1,PublicBuildingPost-Secondary InstitutionNewLightingLight Emitting DiodeStandard EfficiencyElectricity2023
TO,PUBBDGPSINewSCCE___HIGELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingCentralHigh EfficiencyElectricity2023
TO,PUBBDGPSINewSCCE___ESRELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingCentralEnergy StarElectricity2023
TO,PUBBDGPSINewSCCE___STDELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingCentralStandard EfficiencyElectricity2023
TO,PUBBDGPSINewSCWA___HIGELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingWallHigh EfficiencyElectricity2023
TO,PUBBDGPSINewSCWA___ESRELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingWallEnergy StarElectricity2023
TO,PUBBDGPSINewSCWA___STDELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingWallStandard EfficiencyElectricity2023
TO,PUBBDGPSINewSCWD___HIGELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingWindowHigh EfficiencyElectricity2023
TO,PUBBDGPSINewSCWD___ESRELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingWindowEnergy StarElectricity2023
TO,PUBBDGPSINewSCWD___STDELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingWindowStandard EfficiencyElectricity2023
TO,PUBBDGPSINewSCCE___HIGNGA_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingCentralHigh EfficiencyNatural Gas2023
TO,PUBBDGPSINewSCCE___ESRNGA_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingCentralEnergy StarNatural Gas2023
TO,PUBBDGPSINewSCCE___STDNGA_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace CoolingCentralStandard EfficiencyNatural Gas2023
TO,PUBBDGPSINewSHFUR___STDELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceStandard EfficiencyElectricity2023
TO,PUBBDGPSINewSHPLT500WSTDELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingPlinthe500WStandard EfficiencyElectricity2023
TO,PUBBDGPSINewSHPLT1000WSTDELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingPlinthe1000WStandard EfficiencyElectricity2023
TO,PUBBDGPSINewSHPLT1500WSTDELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingPlinthe1500WStandard EfficiencyElectricity2023
TO,PUBBDGPSINewSHFUR___HIGHFO_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceHigh EfficiencyHeavy Fuel Oil2023
TO,PUBBDGPSINewSHFUR___STDHFO_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceStandard EfficiencyHeavy Fuel Oil2023
TO,PUBBDGPSINewSHFURSMASTDHH2_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceSmallStandard EfficiencyHydrogen2023
TO,PUBBDGPSINewSHFURMEDSTDHH2_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceMediumStandard EfficiencyHydrogen2023
TO,PUBBDGPSINewSHFURLARSTDHH2_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceLargeStandard EfficiencyHydrogen2023
TO,PUBBDGPSINewSHFUR___STDKER_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceStandard EfficiencyKerosene2023
TO,PUBBDGPSINewSHFUR___HIGLFO_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceHigh EfficiencyLight Fuel Oil2023
TO,PUBBDGPSINewSHFUR___STDLFO_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil2023
TO,PUBBDGPSINewSHFUR___HIGPRO_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceHigh EfficiencyPropane2023
TO,PUBBDGPSINewSHFUR___ESRPRO_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceEnergy StarPropane2023
TO,PUBBDGPSINewSHFUR___STDPRO_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingFurnaceStandard EfficiencyPropane2023
TO,PUBBDGPSINewSHZTM___STDETHOS_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingZero Thermal MeasureStandard2023
TO,PUBBDGPSINewSHZTM___MEDETHOS_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingZero Thermal MeasureMedium2023
TO,PUBBDGPSINewSHZTM___HIGETHOS_23,31.536,PublicBuildingPost-Secondary InstitutionNewSpace HeatingZero Thermal MeasureHigh Efficiency2023
TO,PUBBDGPSINewWHSYS___STDBMA_23,31.536,PublicBuildingPost-Secondary InstitutionNewWater HeatingSystemStandard EfficiencyBiomass2023
TO,PUBBDGPSINewWHHEP___HIGELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewWater HeatingHeat PumpHigh EfficiencyElectricity2023
TO,PUBBDGPSINewWHHEP___ESRELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewWater HeatingHeat PumpEnergy StarElectricity2023
TO,PUBBDGPSINewWHHEP___STDELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewWater HeatingHeat PumpStandard EfficiencyElectricity2023
TO,PUBBDGPSINewWHWTK___HIGELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewWater HeatingWith TankHigh EfficiencyElectricity2023
TO,PUBBDGPSINewWHWTK___STDELC_23,31.536,PublicBuildingPost-Secondary InstitutionNewWater HeatingWith TankStandard EfficiencyElectricity2023
