"Building capacity per subsector, per end use, per input energy, and per period"
t_periods,Sub,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Capacity_units,Capacities
2016,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,kunits,682.5104593889313
2016,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,kunits,68.19487255920072
2016,Commercial,Auxiliary Equipment,___,___,Propane,Standard,kunits,38.03091049216107
2016,Commercial,Auxiliary Motors,___,___,Electricity,Standard,kunits,70.81941768018103
2016,Commercial,Lighting,Fluocompact,___,Electricity,Standard,Mlm,1958.3259750404823
2016,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm,14324.900369537047
2016,Commercial,Lighting,Halogen,___,Electricity,Standard,Mlm,4203.620246353938
2016,Commercial,Lighting,Incandescent,___,Electricity,Standard,Mlm,13501.144902389431
2016,Commercial,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,62.934418254966914
2016,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,63.20579012646755
2016,Commercial,Space Cooling,___,___,District Cooling,___,MW,107.52837804459429
2016,Commercial,Space Cooling,___,___,Electricity,Standard,MW,799.3931274367619
2016,Commercial,Space Cooling,___,___,Natural Gas,Standard,MW,37.07677046960234
2016,Commercial,Space Heating,Furnace,___,Electricity,Standard,MW,0.16842806235604993
2016,Commercial,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,MW,0.17212669647758064
2016,Commercial,Space Heating,Furnace,___,Kerosene,Standard,MW,0.17211710283289902
2016,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,16.202767630909424
2016,Commercial,Space Heating,Furnace,___,Natural Gas,High,MW,0.3509788152646754
2016,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,MW,3125.312563885167
2016,Commercial,Space Heating,Furnace,___,Propane,Standard,MW,81.92261678880246
2016,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,MW,160.52139377115364
2016,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,168.89986556753576
2016,Commercial,Space Heating,___,___,District Heating,___,MW,360.50798218746377
2016,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,kunits,4248.422025912361
2016,Commercial,Water Heating,___,___,District Heating,___,MW,27.616493861761143
2016,Commercial,Water Heating,___,___,Electricity,Standard,MW,13.300360251169009
2016,Commercial,Water Heating,___,___,Heavy Fuel Oil,Standard,MW,0.14861366048637206
2016,Commercial,Water Heating,___,___,Kerosene,Standard,MW,0.1486164192509715
2016,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,MW,9.25166743570641
2016,Commercial,Water Heating,___,___,Natural Gas,Standard,MW,242.24621497263936
2016,Commercial,Water Heating,___,___,Propane,Standard,MW,3.3765966944408885
2016,Public,Auxiliary Equipment,___,___,Electricity,Standard,kunits,79.90769796079685
2016,Public,Auxiliary Equipment,___,___,Natural Gas,Standard,kunits,9.869605085381938
2016,Public,Auxiliary Motors,___,___,Electricity,Standard,kunits,16.682507406123193
2016,Public,Lighting,Fluocompact,___,Electricity,Standard,Mlm,128.40795628869682
2016,Public,Lighting,Fluorescent,___,Electricity,Standard,Mlm,939.3022498705251
2016,Public,Lighting,Halogen,___,Electricity,Standard,Mlm,275.6391398417744
2016,Public,Lighting,Incandescent,___,Electricity,Standard,Mlm,885.2951606592682
2016,Public,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,4.1267329928981775
2016,Public,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,4.13156128970068
2016,Public,Space Cooling,___,___,District Cooling,___,MW,28.611973603670574
2016,Public,Space Cooling,___,___,Electricity,Standard,MW,355.39444053062516
2016,Public,Space Cooling,___,___,Natural Gas,Standard,MW,46.26886657815869
2016,Public,Space Heating,Furnace,___,Electricity,Standard,MW,30.551992005190964
2016,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,28.209553591706662
2016,Public,Space Heating,Furnace,___,Natural Gas,Standard,MW,610.5402049026738
2016,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,51.956226532212426
2016,Public,Space Heating,___,___,District Heating,___,MW,156.60491819156113
2016,Public,Water Heating,___,___,District Heating,___,MW,23.11130914565025
2016,Public,Water Heating,___,___,Electricity,Standard,MW,3.8019319153745
2016,Public,Water Heating,___,___,Heavy Fuel Oil,Standard,MW,0.24312368201228485
2016,Public,Water Heating,___,___,Kerosene,Standard,MW,0.2431898242528312
2016,Public,Water Heating,___,___,Light Fuel Oil,Standard,MW,6.9505406030264965
2016,Public,Water Heating,___,___,Natural Gas,Standard,MW,42.93097987653982
2016,Residential,Other Appliances,Other,___,Electricity,Standard,kunits,15195.09750333144
2016,Residential,Clothe Dryer,___,___,Electricity,Standard,kunits,1090.0072447252558
2016,Residential,Clothe Dryer,___,___,Natural Gas,Standard,kunits,75.32903745175135
2016,Residential,Clothe Washer,___,___,Electricity,Standard,kunits,1059.0784079230527
2016,Residential,Dish Washer,___,___,Electricity,Standard,kunits,724.3639268008648
2016,Residential,Freezer,___,___,Electricity,Standard,kunits,348.0029335921099
2016,Residential,Lighting,Fluocompact,___,Electricity,Standard,Mlm,278.17364103698395
2016,Residential,Lighting,Fluorescent,___,Electricity,Standard,Mlm,2034.7555815214769
2016,Residential,Lighting,Halogen,___,Electricity,Standard,Mlm,597.1038700536237
2016,Residential,Lighting,Incandescent,___,Electricity,Standard,Mlm,1917.772515444774
2016,Residential,Lighting,Light Emitting Diode,___,Electricity,High,Mlm,8.99054641498174
2016,Residential,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm,8.990553093893249
2016,Residential,Range,___,___,Electricity,Standard,kunits,1397.8836757725749
2016,Residential,Range,___,___,Natural Gas,Standard,kunits,96.60789096079338
2016,Residential,Refrigerator,___,___,Electricity,Standard,kunits,886.5196614029485
