"Waste Capacity per end use,  per plants, per technology type, and per period"
t_periods,Sub,EndUse,Treatment_Plant,Tech_type_1,Tech_type_2,Capacity_units,Capacities
2016,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2016,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2016,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2016,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2016,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2016,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2016,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2016,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2016,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.0551637116464876
2016,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.06479182186608629
2016,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,1.968845373356809
2016,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2016,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.0239616977177013
2016,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.06599863439820827
2016,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,2.0164675741482077
2016,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2016,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,0.9788276685624616
2016,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.05557774775306574
2016,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,1.905386167284312
2016,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2017,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2017,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2017,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2017,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2017,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2017,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2017,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2017,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2017,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.8276625122197956
2017,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.1119545483333377
2017,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,3.1650371360419727
2017,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2017,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.7736753369645586
2017,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.11373902777364148
2017,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,3.206334413753689
2017,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2017,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,1.6951273079540596
2017,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.09681141930921595
2017,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,3.037241168296248
2017,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2018,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2018,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2018,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2018,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2018,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2018,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2018,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2018,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2018,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,2.581966145515735
2018,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.15013252882108188
2018,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,4.28061677290184
2018,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2018,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,2.505590397633861
2018,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.15210741038166728
2018,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,4.316406191525907
2018,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2018,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,2.392412397877239
2018,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.1302653714836194
2018,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,4.089344753985048
2018,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2019,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2019,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2019,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2019,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2019,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2019,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2019,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2019,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2019,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,3.3212026496918745
2019,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.18190979350668407
2019,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,5.3189219293072565
2019,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2019,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,3.222471695370761
2019,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.1838220772471665
2019,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,5.3481888626467375
2019,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2019,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,3.0734357033862607
2019,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.1580819426622045
2019,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,5.0638604609817595
2019,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2020,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2020,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2020,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2020,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2020,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2020,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2020,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2020,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2020,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,4.045450086750742
2020,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.19194401018869992
2020,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,6.284876383444276
2020,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2020,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,3.9245106693682823
2020,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.19347392288292664
2020,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,6.30694423172847
2020,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2020,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,3.738218481149848
2020,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.167119730744857
2020,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,5.966296592935005
2020,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2021,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2021,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2021,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2021,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2021,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2021,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2021,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2021,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2021,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,4.828334495365344
2021,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.20282503697265175
2021,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,7.288417056527312
2021,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2021,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,4.682501887253847
2021,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.20393219960557665
2021,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,7.304439751495323
2021,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2021,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,4.454042501201523
2021,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.1768758039793046
2021,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,6.903224728971854
2021,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2022,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
2022,Solid,Green Bin,Disco Road,Anaerobic Digester,,Tj.y,403.0917097947471
2022,Solid,Landfill,MI - Arbor Hills,Biogas capture,,Tj.y,204.37241250980665
2022,Solid,Landfill,Beare Rd,Biogas capture,,Tj.y,288.3195424455218
2022,Solid,Landfill,MI - Carleton farms,Biogas capture,,Tj.y,506.18195661617216
2022,Solid,Landfill,Green Lane,Biogas capture,,Tj.y,2658.3673355205324
2022,Solid,Landfill,Keele Valley,Biogas capture,,Tj.y,1142.7782271417814
2022,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,2015.422313452776
2022,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,5.60101386027797
2022,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Central,MW,0.2135745031244589
2022,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,8.241744409722745
2022,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,TJ.y,1122.3797980715958
2022,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,Public,TJ.y,5.431023332474013
2022,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Central,MW,0.21426922328866752
2022,Water,Waste water,Humber Wastewater Treatment Plant,Gasification,Enerkem,TJ.y,8.253285399058562
2022,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,TJ.y,418.14438827657136
2022,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,Public,TJ.y,5.15843939273978
2022,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Central,MW,0.1864821771400795
2022,Water,Waste water,Highland Creek Waterwater Treatment Plant,Gasification,Enerkem,TJ.y,7.792029898288227
2022,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,,kt.y,3.71839517625232
2023,Solid,Green Bin,Compost,Biogas upgrade,Public,TJ.y,13.792307003201673
2023,Solid,Green Bin,Compost,Biogas capture,___,TJ.y,17.1460025802345
2023,Solid,Green Bin,Compost,Cogeneration engine,Internal Combustion Engine,MW,0.01898027816675583
2023,Solid,Green Bin,Dufferin,Anaerobic Digester,,Tj.y,427.0712898693506
