Total GHG emissions per period (metric ton)
t_periods,emissions_comm,Emisions
2016,CH4,68127.15681445532
2016,CO2,14316726.586403701
2016,CO2e,16973637.819971044
2016,N2O,527.0850339055069
2017,CH4,65830.53348168421
2017,CO2,14146731.393372247
2017,CO2e,16765062.167498032
2017,N2O,526.9717947579716
2018,CH4,64320.92826832532
2018,CO2,14263376.17994717
2018,CO2e,16869560.98708683
2018,N2O,543.7824544927682
2019,CH4,62284.75777971
2019,CO2,14379838.881180769
2019,CO2e,16948878.933549974
2019,N2O,544.8109633876486
2020,CH4,60222.37940019718
2020,CO2,14234668.650548786
2020,CO2e,16742910.367252676
2020,N2O,553.6234014247211
2021,CH4,58227.294498873496
2021,CO2,14473736.46830513
2021,CO2e,16816862.448471017
2021,N2O,521.9710757273047
2022,CH4,56352.01622644603
2022,CO2,14497948.189369082
2022,CO2e,16890656.657027945
2022,N2O,517.1768070173866
2023,CH4,54303.380338645264
2023,CO2,14027718.126649912
2023,CO2e,16758594.63336038
2023,N2O,526.3639349280826
2024,CH4,52491.86801744751
2024,CO2,14029827.494409958
2024,CO2e,16721370.802509481
2024,N2O,527.9460810721423
2025,CH4,50747.25356297616
2025,CO2,13729079.663473327
2025,CO2e,16745086.370232344
2025,N2O,591.2539760135162
2030,CH4,43493.95401004018
2030,CO2,13631693.17246835
2030,CO2e,16336439.332746806
2030,N2O,685.5886467095237
2035,CH4,37687.85153572959
2035,CO2,13710779.231616039
2035,CO2e,16167127.164378557
2035,N2O,824.1462896065105
2040,CH4,33093.3276154628
2040,CO2,13967764.915980125
2040,CO2e,16435086.824785229
2040,N2O,891.5934522461777
2045,CH4,29604.182604781217
2045,CO2,13616905.21590271
2045,CO2e,15934256.45761292
2045,N2O,1000.6217688669898
2050,CH4,26795.10787115198
2050,CO2,13580262.524613097
2050,CO2e,15830888.468505196
2050,N2O,1006.3250857088258
