regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2016.0,ADEMWATWASFWWW,WATWASFWSPL,0.5,WaterWasteSplitFresh water
TO,2016.0,ADEMWATWASFWFW,WATWASFWSPL,0.5,WaterWasteSplitFresh water
TO,2016.0,ADEMWATWASPUMWW,WATWASPUMWW,0.9739290373221833,WaterWastePumpWaste water
TO,2016.0,WATWASELC,WATWASPUMWW,0.02607096267781677,WaterWastePumpWaste water
TO,2016.0,ADEMWATWASWWAB,WATWASSTPWW,0.5573803730738036,WaterWasteSplit Treatment PlantWaste water
TO,2016.0,ADEMWATWASWWHC,WATWASSTPWW,0.16392944038929438,WaterWasteSplit Treatment PlantWaste water
TO,2016.0,ADEMWATWASWWHB,WATWASSTPWW,0.26084752635847525,WaterWasteSplit Treatment PlantWaste water
TO,2016.0,ADEMWATWASWWNT,WATWASSTPWW,0.017842660178426603,WaterWasteSplit Treatment PlantWaste water
TO,2016.0,ADEMWATWASPUMFW,WATWASPUMFW,0.3705163269057442,WaterWastePumpFresh water
TO,2016.0,WATWASELC,WATWASPUMFW,0.6294836730942558,WaterWastePumpFresh water
TO,2016.0,ADEMWATWASFWRCH,WATWASSTPFW,0.2532943356627743,WaterWasteSplit Treatment PlantFresh water
TO,2016.0,ADEMWATWASFWFJH,WATWASSTPFW,0.24340351425573242,WaterWasteSplit Treatment PlantFresh water
TO,2016.0,ADEMWATWASFWRLC,WATWASSTPFW,0.2920940409475541,WaterWasteSplit Treatment PlantFresh water
TO,2016.0,ADEMWATWASFWISD,WATWASSTPFW,0.21120810913393914,WaterWasteSplit Treatment PlantFresh water
TO,2017.0,ADEMWATWASFWWW,WATWASFWSPL,0.5,WaterWasteSplitFresh water
TO,2017.0,ADEMWATWASFWFW,WATWASFWSPL,0.5,WaterWasteSplitFresh water
TO,2017.0,ADEMWATWASPUMWW,WATWASPUMWW,0.9739290373221833,WaterWastePumpWaste water
TO,2017.0,WATWASELC,WATWASPUMWW,0.02607096267781677,WaterWastePumpWaste water
TO,2017.0,ADEMWATWASWWAB,WATWASSTPWW,0.5573803730738036,WaterWasteSplit Treatment PlantWaste water
TO,2017.0,ADEMWATWASWWHC,WATWASSTPWW,0.16392944038929438,WaterWasteSplit Treatment PlantWaste water
TO,2017.0,ADEMWATWASWWHB,WATWASSTPWW,0.26084752635847525,WaterWasteSplit Treatment PlantWaste water
TO,2017.0,ADEMWATWASWWNT,WATWASSTPWW,0.017842660178426603,WaterWasteSplit Treatment PlantWaste water
TO,2017.0,ADEMWATWASPUMFW,WATWASPUMFW,0.3705163269057442,WaterWastePumpFresh water
TO,2017.0,WATWASELC,WATWASPUMFW,0.6294836730942558,WaterWastePumpFresh water
TO,2017.0,ADEMWATWASFWRCH,WATWASSTPFW,0.2532943356627743,WaterWasteSplit Treatment PlantFresh water
TO,2017.0,ADEMWATWASFWFJH,WATWASSTPFW,0.24340351425573242,WaterWasteSplit Treatment PlantFresh water
TO,2017.0,ADEMWATWASFWRLC,WATWASSTPFW,0.2920940409475541,WaterWasteSplit Treatment PlantFresh water
TO,2017.0,ADEMWATWASFWISD,WATWASSTPFW,0.21120810913393914,WaterWasteSplit Treatment PlantFresh water
TO,2018.0,ADEMWATWASFWWW,WATWASFWSPL,0.5,WaterWasteSplitFresh water
TO,2018.0,ADEMWATWASFWFW,WATWASFWSPL,0.5,WaterWasteSplitFresh water
TO,2018.0,ADEMWATWASPUMWW,WATWASPUMWW,0.9739290373221833,WaterWastePumpWaste water
TO,2018.0,WATWASELC,WATWASPUMWW,0.02607096267781677,WaterWastePumpWaste water
TO,2018.0,ADEMWATWASWWAB,WATWASSTPWW,0.5573803730738036,WaterWasteSplit Treatment PlantWaste water
TO,2018.0,ADEMWATWASWWHC,WATWASSTPWW,0.16392944038929438,WaterWasteSplit Treatment PlantWaste water
TO,2018.0,ADEMWATWASWWHB,WATWASSTPWW,0.26084752635847525,WaterWasteSplit Treatment PlantWaste water
TO,2018.0,ADEMWATWASWWNT,WATWASSTPWW,0.017842660178426603,WaterWasteSplit Treatment PlantWaste water
TO,2018.0,ADEMWATWASPUMFW,WATWASPUMFW,0.3705163269057442,WaterWastePumpFresh water
TO,2018.0,WATWASELC,WATWASPUMFW,0.6294836730942558,WaterWastePumpFresh water
TO,2018.0,ADEMWATWASFWRCH,WATWASSTPFW,0.2532943356627743,WaterWasteSplit Treatment PlantFresh water
TO,2018.0,ADEMWATWASFWFJH,WATWASSTPFW,0.24340351425573242,WaterWasteSplit Treatment PlantFresh water
TO,2018.0,ADEMWATWASFWRLC,WATWASSTPFW,0.2920940409475541,WaterWasteSplit Treatment PlantFresh water
TO,2018.0,ADEMWATWASFWISD,WATWASSTPFW,0.21120810913393914,WaterWasteSplit Treatment PlantFresh water
TO,2019.0,ADEMWATWASFWWW,WATWASFWSPL,0.5,WaterWasteSplitFresh water
TO,2019.0,ADEMWATWASFWFW,WATWASFWSPL,0.5,WaterWasteSplitFresh water
TO,2019.0,ADEMWATWASPUMWW,WATWASPUMWW,0.9739290373221833,WaterWastePumpWaste water
TO,2019.0,WATWASELC,WATWASPUMWW,0.02607096267781677,WaterWastePumpWaste water
TO,2019.0,ADEMWATWASWWAB,WATWASSTPWW,0.5573803730738036,WaterWasteSplit Treatment PlantWaste water
TO,2019.0,ADEMWATWASWWHC,WATWASSTPWW,0.16392944038929438,WaterWasteSplit Treatment PlantWaste water
TO,2019.0,ADEMWATWASWWHB,WATWASSTPWW,0.26084752635847525,WaterWasteSplit Treatment PlantWaste water
TO,2019.0,ADEMWATWASWWNT,WATWASSTPWW,0.017842660178426603,WaterWasteSplit Treatment PlantWaste water
TO,2019.0,ADEMWATWASPUMFW,WATWASPUMFW,0.3705163269057442,WaterWastePumpFresh water
TO,2019.0,WATWASELC,WATWASPUMFW,0.6294836730942558,WaterWastePumpFresh water
TO,2019.0,ADEMWATWASFWRCH,WATWASSTPFW,0.2532943356627743,WaterWasteSplit Treatment PlantFresh water
TO,2019.0,ADEMWATWASFWFJH,WATWASSTPFW,0.24340351425573242,WaterWasteSplit Treatment PlantFresh water
TO,2019.0,ADEMWATWASFWRLC,WATWASSTPFW,0.2920940409475541,WaterWasteSplit Treatment PlantFresh water
TO,2019.0,ADEMWATWASFWISD,WATWASSTPFW,0.21120810913393914,WaterWasteSplit Treatment PlantFresh water
TO,2020.0,ADEMWATWASFWWW,WATWASFWSPL,0.5,WaterWasteSplitFresh water
TO,2020.0,ADEMWATWASFWFW,WATWASFWSPL,0.5,WaterWasteSplitFresh water
