regions,tech,growthrate_seed,growthrate_seed_units,growthrate_seed_notes
TO,COMBDGDCOAVGPIP___CW_23,1.153292231,,
TO,COMBDGDCOAVGSUB___CW_23,1.153292231,,
TO,COMBDGDCOCONHEPLARHWC_23,1.153292231,,
TO,COMBDGDCOCONHEPMEDHWC_23,1.153292231,,
TO,COMBDGDCOCONHEPSMAHWC_23,1.153292231,,
TO,COMBDGDCOPRDDLAENWELC_23,1.153292231,,
TO,COMBDGDCOPRDHEPENWELC_23,1.153292231,,
TO,COMBDGDCOPRDHEPLARELC_23,1.153292231,,
TO,COMBDGDCOPRDHEPLARHWP_23,1.153292231,,
TO,COMBDGDCOPRDHEPMEDELC_23,1.153292231,,
TO,COMBDGDCOPRDHEPMEDHWP_23,1.153292231,,
TO,COMBDGDCOPRDHEPSMAELC_23,1.153292231,,
TO,COMBDGDCOPRDHEPSMAHWP_23,1.153292231,,
TO,COMBDGDCOSTGHTSLARCW_23,1.153292231,,
TO,COMBDGDCOSTGHTSMEDCW_23,1.153292231,,
TO,COMBDGDCOSTGHTSSMACW_23,1.153292231,,
TO,COMBDGDHEAVGPIP___HW_23,1.153292231,,
TO,COMBDGDHEAVGSUB___HW_23,1.153292231,,
TO,COMBDGDHECONHEPLARHWC_23,1.153292231,,
TO,COMBDGDHECONHEPMEDHWC_23,1.153292231,,
TO,COMBDGDHECONHEPSMAHWC_23,1.153292231,,
TO,COMBDGDHEPRDBOILARELC_23,1.153292231,,
TO,COMBDGDHEPRDBOILARNGA_23,1.153292231,,
TO,COMBDGDHEPRDBOIMEDELC_23,1.153292231,,
TO,COMBDGDHEPRDBOIMEDNGA_23,1.153292231,,
TO,COMBDGDHEPRDBOISMAELC_23,1.153292231,,
TO,COMBDGDHEPRDBOISMANGA_23,1.153292231,,
TO,COMBDGDHEPRDGTULARNGA_23,1.153292231,,
TO,COMBDGDHEPRDGTULARMNGA_23,1.153292231,,
TO,COMBDGDHEPRDGTUMEDNGA_23,1.153292231,,
TO,COMBDGDHEPRDGTUMEDMNGA_23,1.153292231,,
TO,COMBDGDHEPRDGTUSMANGA_23,1.153292231,,
TO,COMBDGDHEPRDGTUSMAMNGA_23,1.153292231,,
TO,COMBDGDHEPRDICELARNGA_23,1.153292231,,
TO,COMBDGDHEPRDICELARMNGA_23,1.153292231,,
TO,COMBDGDHEPRDICEMEDNGA_23,1.153292231,,
TO,COMBDGDHEPRDICEMEDMNGA_23,1.153292231,,
TO,COMBDGDHEPRDICESMANGA_23,1.153292231,,
TO,COMBDGDHEPRDICESMAMNGA_23,1.153292231,,
TO,COMBDGDHESTGHTSLARHW_23,1.153292231,,
TO,COMBDGDHESTGHTSMEDHW_23,1.153292231,,
TO,COMBDGDHESTGHTSSMAHW_23,1.153292231,,
TO,COMBDGDHESTGPITLARHW_23,1.153292231,,
TO,COMBDGDHESTGPITMEDHW_23,1.153292231,,
TO,COMBDGDHESTGPITSMAHW_23,1.153292231,,
TO,INDBDGDCOAVGPIP___CW_23,1.153292231,,
TO,INDBDGDCOAVGSUB___CW_23,1.153292231,,
TO,INDBDGDCOCONHEPLARHWC_23,1.153292231,,
TO,INDBDGDCOCONHEPMEDHWC_23,1.153292231,,
TO,INDBDGDCOCONHEPSMAHWC_23,1.153292231,,
TO,INDBDGDCOPRDDLAENWELC_23,1.153292231,,
TO,INDBDGDCOPRDHEPENWELC_23,1.153292231,,
TO,INDBDGDCOPRDHEPLARELC_23,1.153292231,,
TO,INDBDGDCOPRDHEPLARHWP_23,1.153292231,,
TO,INDBDGDCOPRDHEPMEDELC_23,1.153292231,,
TO,INDBDGDCOPRDHEPMEDHWP_23,1.153292231,,
TO,INDBDGDCOPRDHEPSMAELC_23,1.153292231,,
TO,INDBDGDCOPRDHEPSMAHWP_23,1.153292231,,
TO,INDBDGDCOSTGHTSLARCW_23,1.153292231,,
TO,INDBDGDCOSTGHTSMEDCW_23,1.153292231,,
TO,INDBDGDCOSTGHTSSMACW_23,1.153292231,,
TO,INDBDGDHEAVGPIP___HW_23,1.153292231,,
TO,INDBDGDHEAVGSUB___HW_23,1.153292231,,
TO,INDBDGDHECONHEPLARHWC_23,1.153292231,,
TO,INDBDGDHECONHEPMEDHWC_23,1.153292231,,
TO,INDBDGDHECONHEPSMAHWC_23,1.153292231,,
TO,INDBDGDHEPRDBOILARELC_23,1.153292231,,
TO,INDBDGDHEPRDBOILARNGA_23,1.153292231,,
TO,INDBDGDHEPRDBOIMEDELC_23,1.153292231,,
TO,INDBDGDHEPRDBOIMEDNGA_23,1.153292231,,
TO,INDBDGDHEPRDBOISMAELC_23,1.153292231,,
TO,INDBDGDHEPRDBOISMANGA_23,1.153292231,,
TO,INDBDGDHEPRDGTULARNGA_23,1.153292231,,
TO,INDBDGDHEPRDGTULARMNGA_23,1.153292231,,
TO,INDBDGDHEPRDGTUMEDNGA_23,1.153292231,,
TO,INDBDGDHEPRDGTUMEDMNGA_23,1.153292231,,
TO,INDBDGDHEPRDGTUSMANGA_23,1.153292231,,
TO,INDBDGDHEPRDGTUSMAMNGA_23,1.153292231,,
TO,INDBDGDHEPRDICELARNGA_23,1.153292231,,
TO,INDBDGDHEPRDICELARMNGA_23,1.153292231,,
TO,INDBDGDHEPRDICEMEDNGA_23,1.153292231,,
TO,INDBDGDHEPRDICEMEDMNGA_23,1.153292231,,
TO,INDBDGDHEPRDICESMANGA_23,1.153292231,,
TO,INDBDGDHEPRDICESMAMNGA_23,1.153292231,,
TO,INDBDGDHESTGHTSLARHW_23,1.153292231,,
TO,INDBDGDHESTGHTSMEDHW_23,1.153292231,,
TO,INDBDGDHESTGHTSSMAHW_23,1.153292231,,
TO,INDBDGDHESTGPITLARHW_23,1.153292231,,
TO,INDBDGDHESTGPITMEDHW_23,1.153292231,,
TO,INDBDGDHESTGPITSMAHW_23,1.153292231,,
TO,PUBBDGDCOAVGPIP___CW_23,1.153292231,,
TO,PUBBDGDCOAVGSUB___CW_23,1.153292231,,
