"Discounted and Undiscounted Investment and fixed Costs for transportation sector by end use, per vintage. (k CAD 2016)"
vintage,sector,Cost_type,Cost,Mode,Tech_type_1,Tech_type_2,Efficiency,Energy_cat,Costs
1950,Freight Transportation,FixedCosts,Discounted,Marine,___,___,___,All,0.0
1950,Freight Transportation,FixedCosts,Undiscounted,Marine,___,___,___,All,0.0
1950,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1950,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,DUMMY,0.0
1950,Passenger Transportation,FixedCosts,Discounted,Road,Walk,___,___,DUMMY,0.0
1950,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1950,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,DUMMY,0.0
1950,Passenger Transportation,FixedCosts,Undiscounted,Road,Walk,___,___,DUMMY,0.0
1955,Freight Transportation,FixedCosts,Discounted,Marine,___,___,___,All,0.0
1955,Freight Transportation,FixedCosts,Undiscounted,Marine,___,___,___,All,0.0
1955,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1955,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,DUMMY,0.0
1955,Passenger Transportation,FixedCosts,Discounted,Road,Walk,___,___,DUMMY,0.0
1955,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1955,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,DUMMY,0.0
1955,Passenger Transportation,FixedCosts,Undiscounted,Road,Walk,___,___,DUMMY,0.0
1960,Freight Transportation,FixedCosts,Discounted,Marine,___,___,___,All,0.0
1960,Freight Transportation,FixedCosts,Undiscounted,Marine,___,___,___,All,0.0
1960,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1960,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,DUMMY,0.0
1960,Passenger Transportation,FixedCosts,Discounted,Road,Walk,___,___,DUMMY,0.0
1960,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1960,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,DUMMY,0.0
1960,Passenger Transportation,FixedCosts,Undiscounted,Road,Walk,___,___,DUMMY,0.0
1965,Freight Transportation,FixedCosts,Discounted,Marine,___,___,___,All,0.0
1965,Freight Transportation,FixedCosts,Undiscounted,Marine,___,___,___,All,0.0
1965,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1965,Passenger Transportation,FixedCosts,Discounted,Road,Bicycle,___,___,DUMMY,0.0
1965,Passenger Transportation,FixedCosts,Discounted,Road,Walk,___,___,DUMMY,0.0
1965,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,Battery Electric Vehicle,0.0
1965,Passenger Transportation,FixedCosts,Undiscounted,Road,Bicycle,___,___,DUMMY,0.0
1965,Passenger Transportation,FixedCosts,Undiscounted,Road,Walk,___,___,DUMMY,0.0
1970,Freight Transportation,FixedCosts,Discounted,Marine,___,___,___,All,0.0
1970,Freight Transportation,FixedCosts,Discounted,Rail,___,___,___,Diesel,0.015018465457877089
1970,Freight Transportation,FixedCosts,Undiscounted,Marine,___,___,___,All,0.0
1970,Freight Transportation,FixedCosts,Undiscounted,Rail,___,___,___,Diesel,0.015690770428998246
1970,Long distance Transportation,FixedCosts,Discounted,Rail,___,___,___,Diesel,0.35651110314269796
1970,Long distance Transportation,FixedCosts,Undiscounted,Rail,___,___,___,Diesel,0.37247040255148084
