"Building capacity per subsector, per end use, per input energy, and per vintage"
vintage,Sub,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Capacity_units,Capacities
1950,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1950,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
1950,Residential,Space Cooling,___,___,District Cooling,___,MW,1.480012968639973
1950,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1955,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1955,Public,Space Cooling,___,___,District Cooling,___,MW,1.406661722499941
1955,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1955,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1960,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.6419570741255916
1960,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
1960,Residential,Space Cooling,___,___,District Cooling,___,MW,1.480012968639973
1960,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1965,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1965,Public,Space Cooling,___,___,District Cooling,___,MW,1.406661722499941
1965,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1965,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1970,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1970,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
1970,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1970,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1975,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1975,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
1975,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1975,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1980,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1980,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,20.232080859225867
1980,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
1980,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,6.49405549351191
1980,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1980,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,36.444806574147464
1980,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1985,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1985,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,20.23208085922587
1985,Public,Space Cooling,___,___,District Cooling,___,MW,1.406661722499941
1985,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,6.494055493511909
1985,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1985,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,36.44480657414747
1985,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1990,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1990,Commercial,Space Heating,Plinthe,___,Electricity,Standard,MW,20.23208085922587
1990,Public,Space Cooling,___,___,District Cooling,___,MW,1.4066617224999411
1990,Public,Space Heating,Plinthe,___,Electricity,Standard,MW,6.49405549351191
1990,Residential,Space Cooling,___,___,District Cooling,___,MW,1.4800129686399732
1990,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,8.746753577795392
1990,Residential,Space Heating,Plinthe,___,Electricity,Standard,MW,36.444806574147464
1990,Residential,Space Heating,___,___,District Heating,___,MW,2.2439902893372814
1995,Commercial,Space Cooling,___,___,District Cooling,___,MW,7.641957074125591
1995,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,MW,2.992163824447849
1995,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,MW,594.9051346433567
