SLD,WAS,GRB,,,,,,,ARCH,SLDWASGRB,SolidWasteGreen Bin,SLDWAS,N/A,kt
SLD,WAS,LDF,GL,,,,,,ARCH,SLDWASLDFGL,SolidWasteLandfillGreen Lane,SLDWAS,N/A,kt
SLD,WAS,,,,,,,,ARCH,TOSLDWASETHOS,Dummy,SLDWAS,N/A,kt
SLD,WAS,REC,,,,,,,ARCH,TORECSLDASETHOS,Dummy,SLDWAS,N/A,kt
SLD,WAS,LDF,GL,AGG,,,,,EX,SLDWASLDFGLAGG_EX,SolidWasteLandfillGreen LaneAggregate demand,SLDWAS,kt.y,kt
SLD,WAS,LDF,GL,GEN,,,,,EX,SLDWASLDFGLGEN_EX,SolidWasteLandfillGreen LaneBiogas generation,SLDWAS,kt.y,kt
SLD,WAS,LDF,GL,CAP,,,,,EX,SLDWASLDFGLCAP_EX,SolidWasteLandfillGreen LaneBiogas capture,SLDWAS,Tj.y,TJ
SLD,WAS,LDF,GL,FLR,,,,,EX,SLDWASLDFGLFLR_EX,SolidWasteLandfillGreen LaneFlaring,SLDWAS,Tj.y,TJ
SLD,WAS,LDF,BW,GEN,,,,,EX,SLDWASLDFBWGEN_EX,SolidWasteHistorical LF wasteBrock WestBiogas generation,SLDWAS,kt.y,kt
SLD,WAS,LDF,BW,LEK,,,,,EX,SLDWASLDFBWLEK_EX,SolidWasteLandfillBrock WestLeaking,SLDWAS,kt.y,kt
SLD,WAS,LDF,KV,GEN,,,,,EX,SLDWASLDFKVGEN_EX,SolidWasteHistorical LF wasteKeele ValleyBiogas generation,SLDWAS,kt.y,kt
SLD,WAS,LDF,KV,CAP,,,,,EX,SLDWASLDFKVCAP_EX,SolidWasteLandfillKeele ValleyBiogas capture,SLDWAS,Tj.y,TJ
SLD,WAS,LDF,KV,FLR,,,,,EX,SLDWASLDFKVFLR_EX,SolidWasteLandfillKeele ValleyFlaring,SLDWAS,Tj.y,TJ
SLD,WAS,LDF,BR,GEN,,,,,EX,SLDWASLDFBRGEN_EX,SolidWasteHistorical LF wasteBeare RdBiogas generation,SLDWAS,kt.y,kt
SLD,WAS,LDF,BR,CAP,,,,,EX,SLDWASLDFBRCAP_EX,SolidWasteLandfillBeare RdBiogas capture,SLDWAS,Tj.y,TJ
SLD,WAS,LDF,BR,FLR,,,,,EX,SLDWASLDFBRFLR_EX,SolidWasteLandfillBeare RdFlaring,SLDWAS,Tj.y,TJ
SLD,WAS,LDF,TK,GEN,,,,,EX,SLDWASLDFTKGEN_EX,SolidWasteHistorical LF wasteThackerayBiogas generation,SLDWAS,kt.y,kt
SLD,WAS,LDF,TK,LEK,,,,,EX,SLDWASLDFTKLEK_EX,SolidWasteLandfillThackerayLeaking,SLDWAS,Tj.y,TJ
SLD,WAS,LDF,AH,GEN,,,,,EX,SLDWASLDFAHGEN_EX,SolidWasteHistorical LF wasteMI - Arbor HillsBiogas generation,SLDWAS,kt.y,kt
SLD,WAS,LDF,AH,CAP,,,,,EX,SLDWASLDFAHCAP_EX,SolidWasteLandfillMI - Arbor HillsBiogas capture,SLDWAS,Tj.y,TJ
SLD,WAS,LDF,AH,FLR,,,,,EX,SLDWASLDFAHFLR_EX,SolidWasteLandfillMI - Arbor HillsFlaring,SLDWAS,Tj.y,TJ
