periods,group_name,max_act_g,notes
2031,BAP-BDG-1-RESBDG-TEUI,0,
2032,BAP-BDG-1-RESBDG-TEUI,0,
2033,BAP-BDG-1-RESBDG-TEUI,0,
2034,BAP-BDG-1-RESBDG-TEUI,0,
2035,BAP-BDG-1-RESBDG-TEUI,0,
2036,BAP-BDG-1-RESBDG-TEUI,0,
2037,BAP-BDG-1-RESBDG-TEUI,0,
2038,BAP-BDG-1-RESBDG-TEUI,0,
2039,BAP-BDG-1-RESBDG-TEUI,0,
2040,BAP-BDG-1-RESBDG-TEUI,0,
2041,BAP-BDG-1-RESBDG-TEUI,0,
2042,BAP-BDG-1-RESBDG-TEUI,0,
2043,BAP-BDG-1-RESBDG-TEUI,0,
2044,BAP-BDG-1-RESBDG-TEUI,0,
2045,BAP-BDG-1-RESBDG-TEUI,0,
2046,BAP-BDG-1-RESBDG-TEUI,0,
2047,BAP-BDG-1-RESBDG-TEUI,0,
2048,BAP-BDG-1-RESBDG-TEUI,0,
2049,BAP-BDG-1-RESBDG-TEUI,0,
2050,BAP-BDG-1-RESBDG-TEUI,0,
2031,BAP-BDG-1-RESBDGAPA-TEDI,0,
2032,BAP-BDG-1-RESBDGAPA-TEDI,0,
2033,BAP-BDG-1-RESBDGAPA-TEDI,0,
2034,BAP-BDG-1-RESBDGAPA-TEDI,0,
2035,BAP-BDG-1-RESBDGAPA-TEDI,0,
2036,BAP-BDG-1-RESBDGAPA-TEDI,0,
2037,BAP-BDG-1-RESBDGAPA-TEDI,0,
2038,BAP-BDG-1-RESBDGAPA-TEDI,0,
2039,BAP-BDG-1-RESBDGAPA-TEDI,0,
2040,BAP-BDG-1-RESBDGAPA-TEDI,0,
2041,BAP-BDG-1-RESBDGAPA-TEDI,0,
2042,BAP-BDG-1-RESBDGAPA-TEDI,0,
2043,BAP-BDG-1-RESBDGAPA-TEDI,0,
2044,BAP-BDG-1-RESBDGAPA-TEDI,0,
2045,BAP-BDG-1-RESBDGAPA-TEDI,0,
2046,BAP-BDG-1-RESBDGAPA-TEDI,0,
2047,BAP-BDG-1-RESBDGAPA-TEDI,0,
2048,BAP-BDG-1-RESBDGAPA-TEDI,0,
2049,BAP-BDG-1-RESBDGAPA-TEDI,0,
2050,BAP-BDG-1-RESBDGAPA-TEDI,0,
2031,BAP-BDG-1-RESBDGSDE-TEDI,0,
2032,BAP-BDG-1-RESBDGSDE-TEDI,0,
2033,BAP-BDG-1-RESBDGSDE-TEDI,0,
2034,BAP-BDG-1-RESBDGSDE-TEDI,0,
2035,BAP-BDG-1-RESBDGSDE-TEDI,0,
2036,BAP-BDG-1-RESBDGSDE-TEDI,0,
2037,BAP-BDG-1-RESBDGSDE-TEDI,0,
2038,BAP-BDG-1-RESBDGSDE-TEDI,0,
2039,BAP-BDG-1-RESBDGSDE-TEDI,0,
2040,BAP-BDG-1-RESBDGSDE-TEDI,0,
2041,BAP-BDG-1-RESBDGSDE-TEDI,0,
2042,BAP-BDG-1-RESBDGSDE-TEDI,0,
2043,BAP-BDG-1-RESBDGSDE-TEDI,0,
2044,BAP-BDG-1-RESBDGSDE-TEDI,0,
2045,BAP-BDG-1-RESBDGSDE-TEDI,0,
2046,BAP-BDG-1-RESBDGSDE-TEDI,0,
2047,BAP-BDG-1-RESBDGSDE-TEDI,0,
2048,BAP-BDG-1-RESBDGSDE-TEDI,0,
2049,BAP-BDG-1-RESBDGSDE-TEDI,0,
2050,BAP-BDG-1-RESBDGSDE-TEDI,0,
2031,BAP-BDG-1-RESBDGSAT-TEDI,0,
2032,BAP-BDG-1-RESBDGSAT-TEDI,0,
2033,BAP-BDG-1-RESBDGSAT-TEDI,0,
2034,BAP-BDG-1-RESBDGSAT-TEDI,0,
2035,BAP-BDG-1-RESBDGSAT-TEDI,0,
2036,BAP-BDG-1-RESBDGSAT-TEDI,0,
2037,BAP-BDG-1-RESBDGSAT-TEDI,0,
2038,BAP-BDG-1-RESBDGSAT-TEDI,0,
2039,BAP-BDG-1-RESBDGSAT-TEDI,0,
2040,BAP-BDG-1-RESBDGSAT-TEDI,0,
2041,BAP-BDG-1-RESBDGSAT-TEDI,0,
2042,BAP-BDG-1-RESBDGSAT-TEDI,0,
2043,BAP-BDG-1-RESBDGSAT-TEDI,0,
2044,BAP-BDG-1-RESBDGSAT-TEDI,0,
2045,BAP-BDG-1-RESBDGSAT-TEDI,0,
2046,BAP-BDG-1-RESBDGSAT-TEDI,0,
2047,BAP-BDG-1-RESBDGSAT-TEDI,0,
2048,BAP-BDG-1-RESBDGSAT-TEDI,0,
2049,BAP-BDG-1-RESBDGSAT-TEDI,0,
2050,BAP-BDG-1-RESBDGSAT-TEDI,0,
