regions,periods,tech,maxact,maxact_units,maxact_notes
TO,2016,COMBDGDCOAVGSUB___CW_EX,2184.67179,,
TO,2016,COMBDGDHEAVGSUB___HW_EX,5858.699686,,
TO,2016,PUBBDGDCOAVGSUB___CW_EX,300.3590195,,
TO,2016,PUBBDGDHEAVGSUB___HW_EX,1841.822015,,
TO,2016,RESBDGDCOAVGSUB___CW_EX,88.6673165,,
TO,2016,RESBDGDHEAVGSUB___HW_EX,1056.396317,,
TO,2017,COMBDGDCOAVGSUB___CW_EX,2184.67179,,
TO,2017,COMBDGDHEAVGSUB___HW_EX,5858.699686,,
TO,2017,PUBBDGDCOAVGSUB___CW_EX,300.3590195,,
TO,2017,PUBBDGDHEAVGSUB___HW_EX,1841.822015,,
TO,2017,RESBDGDCOAVGSUB___CW_EX,88.6673165,,
TO,2017,RESBDGDHEAVGSUB___HW_EX,1056.396317,,
TO,2018,COMBDGDCOAVGSUB___CW_EX,2184.67179,,
TO,2018,COMBDGDHEAVGSUB___HW_EX,5858.699686,,
TO,2018,PUBBDGDCOAVGSUB___CW_EX,300.3590195,,
TO,2018,PUBBDGDHEAVGSUB___HW_EX,1841.822015,,
TO,2018,RESBDGDCOAVGSUB___CW_EX,88.6673165,,
TO,2018,RESBDGDHEAVGSUB___HW_EX,1056.396317,,
TO,2019,COMBDGDCOAVGSUB___CW_EX,2184.67179,,
TO,2019,COMBDGDHEAVGSUB___HW_EX,5858.699686,,
TO,2019,PUBBDGDCOAVGSUB___CW_EX,300.3590195,,
TO,2019,PUBBDGDHEAVGSUB___HW_EX,1841.822015,,
TO,2019,RESBDGDCOAVGSUB___CW_EX,88.6673165,,
TO,2019,RESBDGDHEAVGSUB___HW_EX,1056.396317,,
TO,2020,COMBDGDCOAVGSUB___CW_EX,2184.67179,,
TO,2020,COMBDGDHEAVGSUB___HW_EX,5858.699686,,
TO,2020,PUBBDGDCOAVGSUB___CW_EX,300.3590195,,
TO,2020,PUBBDGDHEAVGSUB___HW_EX,1841.822015,,
TO,2020,RESBDGDCOAVGSUB___CW_EX,88.6673165,,
TO,2020,RESBDGDHEAVGSUB___HW_EX,1056.396317,,
TO,2021,COMBDGDCOAVGSUB___CW_EX,2184.67179,,
TO,2021,COMBDGDHEAVGSUB___HW_EX,5858.699686,,
TO,2021,PUBBDGDCOAVGSUB___CW_EX,300.3590195,,
TO,2021,PUBBDGDHEAVGSUB___HW_EX,1841.822015,,
TO,2021,RESBDGDCOAVGSUB___CW_EX,88.6673165,,
TO,2021,RESBDGDHEAVGSUB___HW_EX,1056.396317,,
TO,2022,COMBDGDCOAVGSUB___CW_EX,2184.67179,,
TO,2022,COMBDGDHEAVGSUB___HW_EX,5858.699686,,
TO,2022,PUBBDGDCOAVGSUB___CW_EX,300.3590195,,
TO,2022,PUBBDGDHEAVGSUB___HW_EX,1841.822015,,
TO,2022,RESBDGDCOAVGSUB___CW_EX,88.6673165,,
TO,2022,RESBDGDHEAVGSUB___HW_EX,1056.396317,,
TO,2023,COMBDGDCOAVGSUB___CW_EX,2184.67179,,
TO,2023,COMBDGDHEAVGSUB___HW_EX,5858.699686,,
TO,2023,PUBBDGDCOAVGSUB___CW_EX,300.3590195,,
TO,2023,PUBBDGDHEAVGSUB___HW_EX,1841.822015,,
TO,2023,RESBDGDCOAVGSUB___CW_EX,88.6673165,,
TO,2023,RESBDGDHEAVGSUB___HW_EX,1056.396317,,
TO,2023,COMBDGDHEPRDBOILARNGA_23,0,,
TO,2023,COMBDGDHEPRDBOIMEDNGA_23,0,,
TO,2023,COMBDGDHEPRDBOISMANGA_23,0,,
TO,2023,COMBDGDHEPRDGTULARMNGA_23,0,,
TO,2023,COMBDGDHEPRDGTUMEDMNGA_23,0,,
TO,2023,COMBDGDHEPRDGTUSMAMNGA_23,0,,
TO,2023,COMBDGDHEPRDICELARMNGA_23,0,,
TO,2023,COMBDGDHEPRDICEMEDMNGA_23,0,,
TO,2023,COMBDGDHEPRDICESMAMNGA_23,0,,
TO,2023,COMBDGDCOAVGSUB___CW_23,0,,
TO,2023,COMBDGDCOCONHEPLARHWC_23,0,,
TO,2023,COMBDGDCOCONHEPMEDHWC_23,0,,
TO,2023,COMBDGDCOCONHEPSMAHWC_23,0,,
TO,2023,COMBDGDCOPRDDLAENWELC_23,0,,
TO,2023,COMBDGDCOPRDHEPENWELC_23,0,,
TO,2023,COMBDGDCOPRDHEPLARELC_23,0,,
TO,2023,COMBDGDCOPRDHEPLARHWP_23,0,,
TO,2023,COMBDGDCOPRDHEPMEDELC_23,0,,
TO,2023,COMBDGDCOPRDHEPMEDHWP_23,0,,
TO,2023,COMBDGDCOPRDHEPSMAELC_23,0,,
TO,2023,COMBDGDCOPRDHEPSMAHWP_23,0,,
TO,2023,COMBDGDHEAVGSUB___HW_23,0,,
TO,2023,COMBDGDHECONHEPLARHWC_23,0,,
TO,2023,COMBDGDHECONHEPMEDHWC_23,0,,
TO,2023,COMBDGDHECONHEPSMAHWC_23,0,,
TO,2023,COMBDGDHEPRDBOILARELC_23,0,,
TO,2023,COMBDGDHEPRDBOIMEDELC_23,0,,
TO,2023,COMBDGDHEPRDBOISMAELC_23,0,,
TO,2023,INDBDGDHEPRDBOILARNGA_23,0,,
TO,2023,INDBDGDHEPRDBOIMEDNGA_23,0,,
TO,2023,INDBDGDHEPRDBOISMANGA_23,0,,
TO,2023,INDBDGDHEPRDGTULARMNGA_23,0,,
TO,2023,INDBDGDHEPRDGTUMEDMNGA_23,0,,
TO,2023,INDBDGDHEPRDGTUSMAMNGA_23,0,,
TO,2023,INDBDGDHEPRDICELARMNGA_23,0,,
TO,2023,INDBDGDHEPRDICEMEDMNGA_23,0,,
TO,2023,INDBDGDHEPRDICESMAMNGA_23,0,,
TO,2023,INDBDGHH2PRDARGCCSNGA_23,0,,
TO,2023,INDBDGHH2PRDSMRCCSNGA_23,0,,
TO,2023,INDBDGHH2PRDSMR___NGA_23,0,,
TO,2023,INDBDGDCOAVGSUB___CW_23,0,,
TO,2023,INDBDGDCOCONHEPLARHWC_23,0,,
TO,2023,INDBDGDCOCONHEPMEDHWC_23,0,,
TO,2023,INDBDGDCOCONHEPSMAHWC_23,0,,
TO,2023,INDBDGDCOPRDDLAENWELC_23,0,,
TO,2023,INDBDGDCOPRDHEPENWELC_23,0,,
TO,2023,INDBDGDCOPRDHEPLARELC_23,0,,
